question,gold,qtype,topk_aic,topk_f1,topk_em,topk_tokens,mmr_aic,mmr_f1,mmr_em,mmr_tokens,focused_aic,focused_f1,focused_em,focused_tokens,answer_survival_aic,answer_survival_f1,answer_survival_em,answer_survival_tokens
"Which journalist and author won the fifth series of I'm A Celebrity, Get Me Out Of Here in 2005, beating Cannon and Ball, Jimmy Osmond and Sheree Murphy amongst others?",CAROL THATCHER,,1,0.0,0.0,339,1,0.0,0.0,339,1,0.0,0.0,339,1,0.0,0.0,339
A dress worn at President John F Kennedy's birthday party at Madison Square Garden on 19 May 1962 was sold at auction in 1999 for $1.26 million. Who wore it at the party?,Marilyn Munroe,,0,0.0,0.0,323,0,0.05128205128205129,0.0,323,0,0.0,0.0,323,0,0.0,0.0,323
A footpad was a criminal from the 16th to 19th century but what term is used to describe them today?,MUGGER,,0,0.0,0.0,445,0,0.0,0.0,445,0,0.0,0.0,445,0,0.0,0.0,445
Which author created the character Moll Flanders?,Daniel Defoe,,1,0.0,0.0,496,1,0.0,0.0,506,1,0.0,0.0,496,1,0.0,0.0,485
Which single by 'Leapy Lee' reached number two in the UK charts in 1968?,'LITTLE ARROWS',,1,0.0,0.0,288,1,0.0,0.0,288,1,0.0,0.0,288,1,0.0,0.0,288
What is the name of Mo Farah's coach who has recently been at the centre of doping allegations?,Alberto Salazar,,1,0.0,0.0,505,1,0.0,0.0,508,1,0.0,0.0,505,1,0.0,0.0,485
Which journalist first told the world about the My Lai massacre?,Seymour Hersh,,1,0.0,0.0,490,1,0.0,0.0,490,1,0.0,0.0,490,1,0.0,0.0,490
Which writer created the detective Charlie Chan?,EARL DERR BIGGERS,,1,0.4615384615384615,0.0,374,1,0.4615384615384615,0.0,374,1,0.4615384615384615,0.0,374,1,0.4615384615384615,0.0,374
"""In the book of Genesis who asked the question,""""Am I my brotherskeeper""""?""",CAIN,,1,0.01129943502824859,0.0,512,0,0.0,0.0,499,1,0.01129943502824859,0.0,500,1,0.01129943502824859,0.0,492
"In December 1965, who became President of the Philippines?",Ferdinand Marcos,,0,0.6666666666666666,0.0,492,0,0.6666666666666666,0.0,507,0,0.6666666666666666,0.0,507,0,0.6666666666666666,0.0,502
Which Mexican dish is a steamed corn husk filled with meat or vegetables coated in masa dough?,Tamale,,1,0.0,0.0,437,1,0.0,0.0,437,1,0.0,0.0,437,1,0.0,0.0,437
"In June 2010, 8 highly endangered monkeys (4 cottontop tamarins and 4 pygmy marmosets) were stolen from the Symbio Wildlife Park in which country?",Australia,,1,0.0,0.0,18,1,0.0,0.0,18,1,0.0,0.0,18,1,0.0,0.0,18
"""In New Zealand, the word """"moko"""" refers to a type of what?""",Tattoo,,1,0.0,0.0,440,1,0.0,0.0,440,1,0.0,0.0,440,1,0.0,0.0,440
"In humans, alopecia is the loss of what?",Hair,,1,0.15384615384615385,0.0,433,1,0.15384615384615385,0.0,433,1,0.15384615384615385,0.0,433,1,0.15384615384615385,0.0,433
"What was the first name of Italian crafter of violins Stradivari, who died in 1737?",Antonio,,1,0.6666666666666666,0.0,434,1,0.6666666666666666,0.0,434,1,0.6666666666666666,0.0,434,1,0.6666666666666666,0.0,434
Films. Which Dominic starred as Merry (Meriadoc) in ‘The Lord of the Rings’?,MONAGHAN,,1,0.125,0.0,451,1,0.0689655172413793,0.0,451,1,0.0,0.0,451,1,0.125,0.0,451
"Anchored by the star Polaris, the constellation ursa minor represents what animal?",bear,,1,0.0,0.0,439,1,0.0,0.0,439,1,0.0,0.0,439,1,0.0,0.0,439
Arrecife is the largest city on which of the Canary Islands whose name is derived from that of a Genoese navigator?,LANZAROTE,,1,0.0,0.0,371,1,0.0,0.0,371,1,0.0,0.0,371,1,0.0,0.0,371
A gymnophobia sufferer fears what?,Nudity,,1,0.0,0.0,253,1,0.0,0.0,253,1,0.0,0.0,253,1,0.0,0.0,253
Shashlik is what type of food dish?,Kebab,,1,0.0,0.0,415,1,0.0,0.0,415,1,0.0,0.0,415,1,0.0,0.0,415
How many players are on the field in a baseball team?,Nine,,1,0.1111111111111111,0.0,481,1,0.1111111111111111,0.0,481,1,0.1111111111111111,0.0,481,1,0.1111111111111111,0.0,481
"Quantrill's Raiders, a loosely organised force of Partisan rangers under the leadership of William Clarke Quantril, fought in which war?",American Civil War,,1,0.33333333333333337,0.0,458,1,0.33333333333333337,0.0,458,1,0.33333333333333337,0.0,458,1,0.33333333333333337,0.0,458
Creme Anglaise is the French version of which English dessert item?,Custard,,1,0.11764705882352941,0.0,486,1,0.11764705882352941,0.0,486,1,0.11764705882352941,0.0,486,1,0.11764705882352941,0.0,486
Which international treaties of 1899 and 1907 cover the use of weapons in war?,Hague Conventions,,1,0.0,0.0,510,1,0.0,0.0,510,1,0.0,0.0,510,1,0.0,0.0,483
"Royton North, Shaw and Werneth are wards in which Metropolitan Borough Council?",OLDHAM,,1,0.11764705882352941,0.0,446,1,0.11764705882352941,0.0,446,1,0.11764705882352941,0.0,446,1,0.11764705882352941,0.0,446
"""How many different colours are used for the circles on a """"Twister"""" mat?""",4,,1,0.0,0.0,402,1,0.0,0.0,402,1,0.0,0.0,402,1,0.0,0.0,402
"In the novel by Dumas, where was the Count of Monte Cristo imprisoned for 14 years?",Chateau d'If,,0,0.0,0.0,502,0,0.0,0.0,510,0,0.0,0.0,512,0,0.0,0.0,502
"Said to refer erroneously to the temperature at which book paper catches fire, the title of Ray Bradbury's 1953 novel about a futuristic society in which reading books is illegal, is called 'Fahrenheit...' what? 972; 451; 100; or 25?",451,,1,0.0,0.0,458,1,0.0,0.0,458,1,0.0,0.0,458,1,0.0,0.0,458
"In South Africa, who replaced Nelson Mandela as President of South Africa in 1999?",THABO MBEKI,,1,0.0,0.0,505,1,0.0,0.0,505,1,0.0,0.0,505,1,0.0,0.0,505
"Which serial killer hanged himself in Wakefield Prison in January 2004, four years after being found guilty of 15 murders?",Dr Harold Shipman,,0,0.0,0.0,481,0,0.0,0.0,481,0,0.0,0.0,481,0,0.0,0.0,481
The 1810 betrothal of Princess Theresa to Crown Prince Ludwig not only resulted in the meadow where the event took place to be named Theresienwiese but also started what?,Octoberfest,,0,0.0,0.0,508,0,0.0,0.0,416,0,0.0,0.0,501,0,0.0,0.0,501
What dance craze was named after a city in South Carolina?,The Charleston,,1,0.0,0.0,343,1,0.0,0.0,343,1,0.0,0.0,343,1,0.0,0.0,343
"What is the name of the semi-fluid, clarified butter used in Indian cookery?",Ghee,,1,0.0,0.0,368,1,0.0,0.0,368,1,0.0,0.0,368,1,0.0,0.0,368
Which ‘S’ is a group of geese in flight?,Skein,,1,0.0,0.0,493,1,0.0,0.0,493,1,0.0,0.0,493,1,0.0,0.0,493
"The excellent cut of beef known as ""hanger steak"" is taken from what part of the animal?",Diaphragm,,1,0.0,0.0,365,1,0.0,0.0,365,1,0.0,0.0,365,1,0.0,0.0,365
Ascorbic acid is usually known as what?,Vitamin C,,1,0.0,0.0,305,1,0.0,0.0,305,1,0.0,0.0,305,1,0.0,0.0,305
"""Who wrote numerous short stories and plays and the novels """"Of Human Bondage"""", """"The Moon And Sixpence"""" and """"Cakes And Ale""""?""",Somerset Maugham,,1,0.0,0.0,445,1,0.0,0.0,445,1,0.0,0.0,445,1,0.0,0.0,445
Amr Shabana from Egypt is famous for playing which sport?,Squash,,1,0.0,0.0,492,1,0.0,0.0,492,1,0.0,0.0,492,1,0.0,0.0,482
What was the codename for the German invasion of Russia in 1941?,BARBAROSSA,,1,0.0,0.0,508,0,0.0,0.0,512,1,0.0,0.0,509,1,0.0,0.0,511
"Swede Carl Linnaeus, 1707-78, considered the father of taxonomy of living things, is the lectotype (example specimen) for which species?",Homo Sapiens,,1,0.2857142857142857,0.0,487,1,0.2857142857142857,0.0,493,1,0.2857142857142857,0.0,487,1,0.2857142857142857,0.0,412
Which company made the 'Tigra' model of car?,VAUXHALL,,1,0.0,0.0,393,1,0.0,0.0,393,1,0.0,0.0,393,1,0.0,0.0,393
"For what does the G stand in the navigational aid, usually known as a `GPS'?",Global,,1,0.0,0.0,455,1,0.0,0.0,455,1,0.0,0.0,455,1,0.0,0.0,455
Which former cabinet minister was debarred from Parliament because of irregularities in his 2010 election campaign for his Oldham East and Saddleworth constituency?,PHIL WOOLAS,,1,0.0,0.0,500,1,0.0,0.0,503,1,0.0,0.0,506,1,0.0,0.0,495
What is the official animal of Canada,Beaver,,0,0.0,0.0,476,0,0.0,0.0,476,0,0.0,0.0,476,0,0.0,0.0,476
Alphabetically which is the first of the five halogens in the periodic table,Astatine,,1,0.0,0.0,403,1,0.0,0.0,403,1,0.0,0.0,403,1,0.0,0.0,403
Who was President of France for over 10 years from 1958?,Charles de Gaulle,,1,0.0,0.0,511,0,0.0,0.0,505,1,0.0,0.0,507,1,0.0,0.0,500
In the computing acronym WYSIWYG (wiziwig) what word is represented by both letter Ws?,WHAT,,1,0.0,0.0,503,1,0.0,0.0,503,1,0.0,0.0,503,1,0.0,0.0,503
Curacao was a colony of which country?,The Netherlands,,1,0.0,0.0,491,1,0.0,0.0,503,1,0.0,0.0,491,1,0.0,0.0,491
In an electrical circuit what is measured by a Wheatstone Bridge?,Resistance,,1,0.07692307692307693,0.0,443,1,0.07692307692307693,0.0,443,1,0.07692307692307693,0.0,443,1,0.07692307692307693,0.0,443
Peter O’Sullevan was a BBC commentator for which sport?,Horse racing,,0,0.0,0.0,499,0,0.0,0.0,510,0,0.0,0.0,507,0,0.0,0.0,510
"The American legal drama Shark ran from Sept 06 to May 08. Who starred in the title role, playing Sebastian Stark?",James Woods,,0,0.0,0.0,470,0,0.0,0.0,470,0,0.0,0.0,470,0,0.0,0.0,470
Charlotte of Mecklenburg-Strelitz was the wife of which King of Great Britain?,GEORGE III,,1,0.12121212121212122,0.0,501,1,0.12121212121212122,0.0,498,1,0.12121212121212122,0.0,508,1,0.12121212121212122,0.0,498
In relation to phobias what word describes the fear of strangers or foreigners?,XENOPHOBIA,,1,0.10526315789473684,0.0,437,1,0.10526315789473684,0.0,437,1,0.10526315789473684,0.0,437,1,0.10526315789473684,0.0,437
Which motor manufacturer produces the 'Sharan' model?,VOLKSWAGEN,,1,0.14285714285714288,0.0,474,1,0.14285714285714288,0.0,474,1,0.14285714285714288,0.0,474,1,0.14285714285714288,0.0,474
What Caribbean nation is considered the first black-led republic in the world?,Haiti,,1,0.0,0.0,510,1,0.0,0.0,511,1,0.0,0.0,507,1,0.0,0.0,507
‘The Night of the Long Knives’ refers to which leader eliminating many of his political enemies?,Adolph Hitler,,0,0.0,0.0,489,0,0.0,0.0,489,0,0.0,0.0,489,0,0.0,0.0,489
"""What 1998 film diected by Peter Weir , was advertised with the tag line """"On The Air, Unaware""""?""",'THE TRUMAN SHOW',,1,0.0,0.0,497,1,0.0,0.0,512,1,0.0,0.0,497,1,0.0,0.0,486
"Having a height of 3,478 metres, Mount Mulhacen is the highest mainland point of which country?",SPAIN,,1,0.0,0.0,500,1,0.09523809523809523,0.0,512,1,0.0,0.0,500,1,0.09523809523809523,0.0,506
Which scientist discovered the Neutron in 1934?,James Chadwick,,0,0.0,0.0,389,0,0.0,0.0,389,0,0.0,0.0,389,0,0.0,0.0,389
Poopdeck Pappy is which fictional character’s father?,Popeye,,1,0.11764705882352941,0.0,482,1,0.11764705882352941,0.0,482,1,0.11764705882352941,0.0,482,1,0.11764705882352941,0.0,482
"What was the original surname of T E Shaw, an RAF aircraftsman who was killed in a motorbike accident in 1935?",Lawrence,,1,0.09523809523809523,0.0,380,1,0.09523809523809523,0.0,380,1,0.09523809523809523,0.0,380,1,0.09523809523809523,0.0,380
The most northerly point of mainland Europe is in which country?,Norway,,0,0.0,0.0,302,0,0.0,0.0,302,0,0.0,0.0,302,0,0.0,0.0,302
"British artist Sir James Thornhill (1675-1734), history painter and sergeant painter to George I and George II, was related by marriage to which other artist?",William Hogarth,,1,0.0,0.0,421,1,0.0,0.0,421,1,0.0,0.0,421,1,0.0,0.0,421
Which illness is commonly treated with the drugs lisinopril and ramipril?,High blood pressure,,1,0.0,0.0,479,1,0.0,0.0,500,1,0.0,0.0,479,1,0.0,0.0,421
Which company produces the video game console 'Xbox 360'?,MICROSOFT,,1,0.0,0.0,396,1,0.0,0.0,396,1,0.0,0.0,396,1,0.0,0.0,396
"In 1960, who co-founded Motor Racing Developments Ltd., a British racing car manufacturer and Formula One racing team with designer Ron Tauranac?",Jack Brabham,,1,0.1081081081081081,0.0,497,1,0.11764705882352941,0.0,508,1,0.11764705882352941,0.0,507,1,0.11764705882352941,0.0,484
"What is the title of The Beatles first feature film, released in 1964?",A Hard Day’s Night,,0,0.0,0.0,497,0,0.0,0.0,495,0,0.0,0.0,511,0,0.0,0.0,491
"""In the song """"The Twelve Days of Christmas"""", what were there five of?""",Gold rings,,0,0.0,0.0,493,0,0.0,0.0,492,0,0.0,0.0,501,0,0.0,0.0,511
"""Which national anthem appears in The Beatles song """"All You Need Is Love""""?""",La Marseillaise,,0,0.0,0.0,491,0,0.0,0.0,503,0,0.0,0.0,491,0,0.0,0.0,439
‘When Will You Marry?’ became the world’s most expensive work of art when it was sold,Paul GAUGUIN,,1,0.0,0.0,488,1,0.0,0.0,488,1,0.0,0.0,488,1,0.0,0.0,488
David Balfour and Alan Breck are characters in books by which author?,ROBERT LOUIS STEVENSON,,1,0.0,0.0,445,1,0.0,0.0,445,1,0.0,0.0,445,1,0.0,0.0,445
What in the human body is the calcaneum?,Heel bone,,1,0.0,0.0,453,1,0.0,0.0,453,1,0.0,0.0,453,1,0.0,0.0,453
Which country is bordered by Cambodia and Laos to the west and China to the north?,Vietnam,,1,0.0,0.0,463,1,0.0,0.0,463,1,0.0,0.0,463,1,0.0,0.0,463
What ology is the scientific study of the structure of Earth?,Geology,,0,0.0,0.0,503,0,0.0,0.0,483,0,0.0,0.0,503,0,0.0,0.0,483
The Welsh Highland Railway runs between Porthmadog and which town or city?,Caernarfon,,1,0.0,0.0,428,1,0.0,0.0,428,1,0.0,0.0,428,1,0.0,0.0,428
"The film '10 things I hate about you', was inspired by which of Shakespeare's plays?",The Taming of the Shrew,,1,0.3,0.0,498,1,0.3,0.0,510,1,0.3,0.0,498,1,0.3,0.0,498
What is a positively charged ion called?,Cation,,1,0.0,0.0,470,1,0.0,0.0,470,1,0.0,0.0,470,1,0.0,0.0,470
"What name connects 'Cold Comfort Farm, stamp collecting and ancient Rome?",GIBBONS,,1,0.0,0.0,440,1,0.0,0.0,440,1,0.0,0.0,440,1,0.0,0.0,440
During the Falklands War which ship was the British flagship?,HMS HERMES,,0,0.0,0.0,509,0,0.0,0.0,509,0,0.0,0.0,509,0,0.0,0.0,509
Which hit programme is filmed in a tent at Harptree Court in Somerset?,Great British Bake Off,,1,0.0,0.0,248,1,0.0,0.0,248,1,0.0,0.0,248,1,0.0,0.0,248
Which singer had a number 1 hit album in 2008 entitled 'Hard Candy'?,Madonna,,1,0.18181818181818182,0.0,489,1,0.18181818181818182,0.0,489,1,0.18181818181818182,0.0,489,1,0.18181818181818182,0.0,489
What is the distinguishing feature of an animal described as ‘palmiped’?,Webbed feet,,1,0.0,0.0,351,1,0.0,0.0,351,1,0.0,0.0,351,1,0.0,0.0,351
In which TV establishment were Miss Gatsby and Miss Tibbs residents ?,FAWLTY TOWERS,,1,0.0,0.0,216,1,0.0,0.0,216,1,0.0,0.0,216,1,0.0,0.0,216
Who became the host of the UK television game show Blankety Blank in 1984?,Les Dawson,,1,0.0,0.0,496,1,0.0,0.0,496,1,0.0,0.0,496,1,0.0,0.0,496
What building is located at 1600 Pennsylvania Avenue?,White House,,1,0.0,0.0,504,1,0.0,0.0,504,1,0.0,0.0,504,1,0.0,0.0,504
"According to legend, who was King Arthur's father?",Uther Pendragon,,1,0.10256410256410257,0.0,504,1,0.10256410256410257,0.0,511,1,0.10256410256410257,0.0,500,1,0.10256410256410257,0.0,502
What type of creature is a Meadow Brown?,Butterfly,,1,0.0,0.0,481,1,0.0,0.0,444,1,0.0,0.0,481,1,0.0,0.0,457
Who wrote the novel Cider With Rosie?,Laurie Lee,,1,0.07999999999999999,0.0,483,1,0.14285714285714288,0.0,483,1,0.07999999999999999,0.0,483,1,0.07999999999999999,0.0,483
"What is an alternative name for vitamin B9, essential in promoting cell growth, particularly during pregnancy?",Folic Acid,,1,0.0,0.0,371,1,0.0,0.0,371,1,0.0,0.0,371,1,0.0,0.0,371
Who wrote the opera A Masked Ball?,Giuseppe Verdi,,1,0.0,0.0,510,1,0.0,0.0,496,1,0.0,0.0,510,1,0.0,0.0,493
"Which bird, in relation to its size, has the thickest skull?",THE WOODPECKER,,1,0.0,0.0,334,1,0.0,0.0,334,1,0.0,0.0,334,1,0.0,0.0,334
Which city in Saxony was known as Karl-Marx-Stadt from 1953 until 1990?,CHEMNITZ,,1,0.1111111111111111,0.0,486,1,0.1111111111111111,0.0,509,1,0.1111111111111111,0.0,506,1,0.1111111111111111,0.0,418
In the book by James Hilton what was the full surname of the character Mr Chips?,CHIPPING,,1,0.0,0.0,324,1,0.0,0.0,324,1,0.0,0.0,324,1,0.0,0.0,324
What is the parrot's name in Enid Blyton's 'Adventure' series of books?,Kiki,,1,0.0,0.0,494,1,0.0,0.0,498,1,0.0,0.0,494,1,0.0,0.0,462
In which city was King George II born?,Hanover,,1,0.0,0.0,441,1,0.0,0.0,441,1,0.0,0.0,441,1,0.0,0.0,441
In which year was the Jarrow Crusade march to London?,1936,,1,0.0,0.0,499,1,0.0,0.0,485,1,0.0,0.0,512,1,0.0,0.0,509
Who did 'Eastenders' character 'Dot Cotton' marry in 2001?,'JIM BRANNING',,0,0.0,0.0,503,0,0.0,0.0,510,0,0.0,0.0,503,0,0.0,0.0,491
"Which cartoon series featured the characters Lion-o, Cheetera, Tygra and Snarf/",Thundercats.,,1,0.09523809523809523,0.0,255,1,0.09523809523809523,0.0,255,1,0.09523809523809523,0.0,255,1,0.0,0.0,255
"""What is the name of the short actor who plays the main role in the BBC2 comedy series""""Life's too short""""?""",WARWICK DAVIS,,1,0.0,0.0,495,1,0.0,0.0,495,1,0.0,0.0,495,1,0.0,0.0,495
Who wrote the children's books 'Pigeon Post' and 'Coot Club'?,ARTHUR RANSOME,,1,0.0,0.0,512,1,0.0,0.0,491,1,0.0,0.0,512,1,0.0,0.0,503
In which film was the song White Christmas first sung?,Holiday Inn,,0,0.0,0.0,502,0,0.0,0.0,506,0,0.0,0.0,502,0,0.0,0.0,493
"In 1171 Henry II was the first English king to set foot in an Irish city. Founded by the Vikings in the ninth century, which is Ireland's oldest city?",WATERFORD,,0,0.0,0.0,467,0,0.0,0.0,467,0,0.0,0.0,467,0,0.0,0.0,467
In the history of the universe what term refers to immediately after the Big Bang?,Inflation,,1,0.0,0.0,495,1,0.0,0.0,502,1,0.0,0.0,508,1,0.0,0.0,502
"""What sport has been contested annually in Britain since 1715 in the race called """"Doggett's Coat and Badge""""?""",Rowing,,1,0.13333333333333333,0.0,503,1,0.0,0.0,498,1,0.0,0.0,503,1,0.13333333333333333,0.0,512
"What gas, symbol F, is the most reactive of all chemical elements?",Fluorine,,1,0.0,0.0,444,1,0.0,0.0,444,1,0.0,0.0,444,1,0.0,0.0,444
"Although he never won an Oscar for best director, one of Hitchcock's films did win an Oscar for best picture. What was the film?",Rebecca,,1,0.0,0.0,512,1,0.0,0.0,512,1,0.0,0.0,512,1,0.0,0.0,512
What name links an American singer and a Nottinghamshire and England cricketer?,James Taylor,,1,0.0,0.0,498,0,0.0,0.0,501,1,0.0,0.0,506,1,0.0,0.0,506
"What 1945 film won best picture, actor, director Oscars?",The Lost Weekend,,1,0.0,0.0,510,1,0.0,0.0,502,1,0.0,0.0,510,1,0.0,0.0,491
"What ""moderately famous"" ship left Southampton, England, before stopping at Cherbourg, France and Queenstown, Ireland before stopping floating?",RMS Titanic,,1,0.07407407407407407,0.0,496,1,0.07407407407407407,0.0,496,1,0.07407407407407407,0.0,496,1,0.07407407407407407,0.0,496
In which country can you find Westmorland in Cornwall and Manchester in Middlesex?,Jamaica,,0,0.0,0.0,413,0,0.0,0.0,413,0,0.0,0.0,413,0,0.0,0.0,413
What was Cliff Richard's backing group called before they became The Shadows,The Drifters,,1,0.0,0.0,452,1,0.0,0.0,452,1,0.0,0.0,452,1,0.0,0.0,452
In which town in Kent is the Shepherd Neame brewery located?,Faversham,,1,0.14285714285714288,0.0,470,1,0.14285714285714288,0.0,470,1,0.14285714285714288,0.0,470,1,0.14285714285714288,0.0,470
What year did the Channel Tunnel between Britain and France open?,1994,,0,0.0,0.0,459,0,0.0,0.0,459,0,0.0,0.0,459,0,0.0,0.0,459
If you were making a wiener schnitzel what meat would you buy?,Veal,,1,0.0,0.0,490,1,0.0,0.0,490,1,0.0,0.0,490,1,0.0,0.0,490
According to the Old Testament of the Bible who was the brother of Moses?,AARON,,1,0.1111111111111111,0.0,504,1,0.1111111111111111,0.0,506,1,0.1111111111111111,0.0,504,1,0.0,0.0,500
What company makes Big Red and Juicy Fruit gum?,Wrigley,,1,0.08333333333333333,0.0,336,1,0.15384615384615385,0.0,336,1,0.08333333333333333,0.0,336,1,0.13333333333333333,0.0,336
"""What sport is featured in """"Invictus"""", a 2009 film directed by Clint Eastwood?""",Rugby,,0,0.0,0.0,489,0,0.0,0.0,489,0,0.0,0.0,489,0,0.0,0.0,489
What was bandleader Joe Loss's signature tune,In The Mood,,1,0.0,0.0,435,1,0.0,0.0,435,1,0.0,0.0,435,1,0.0,0.0,435
What is 'The Old Lady of Threadneedle Street'?,The Bank of England,,1,0.0,0.0,511,1,0.0,0.0,512,1,0.0,0.0,511,1,0.0,0.0,499
"Which European country has the same flag as Chad - a blue, yellow and red tricolour?",Romania,,1,0.0,0.0,489,1,0.125,0.0,489,1,0.0,0.0,489,1,0.0,0.0,489
Electric Christmas tree lights were first used in what year?,1882,,0,0.0,0.0,506,1,0.0,0.0,481,1,0.0,0.0,505,1,0.0,0.0,456
What is the title of William Shakespeare’s shortest play?,The Comedy of Errors,,1,0.0,0.0,502,1,0.0,0.0,502,1,0.0,0.0,502,1,0.0,0.0,502
