question,gold,qtype,topk_aic,topk_f1,topk_em,topk_tokens,mmr_aic,mmr_f1,mmr_em,mmr_tokens,focused_aic,focused_f1,focused_em,focused_tokens,answer_survival_aic,answer_survival_f1,answer_survival_em,answer_survival_tokens
How many protestants live in France today?,one million,,1,0.8,0.0,81,1,0.8,0.0,81,1,0.8,0.0,81,1,0.8,0.0,81
"Where are the Harvard medical, Dental and school of Public Health located?",Longwood Medical and Academic Area,,1,0.19999999999999998,0.0,94,1,0.19999999999999998,0.0,94,1,0.19999999999999998,0.0,94,1,0.19999999999999998,0.0,94
The French and Indian War was the New World aspect of what European conflict?,Seven Years' War,,1,0.28571428571428575,0.0,105,1,0.28571428571428575,0.0,105,1,0.28571428571428575,0.0,105,1,0.28571428571428575,0.0,105
What are some existing facilities?,"electrical, water, sewage, phone, and cable facilities",,1,0.4444444444444445,0.0,101,1,0.4444444444444445,0.0,101,1,0.4444444444444445,0.0,101,1,0.4444444444444445,0.0,101
Which reason is given sometimes to plead not guilty involving these matters?,Guilt implies wrong-doing,,1,0.0,0.0,219,1,0.0,0.0,219,1,0.0,0.0,219,1,0.0,0.0,219
The idea that Islam can be apolitical isn't able to be embraced by whom?,its supporters,,1,0.0,0.0,100,1,0.0,0.0,100,1,0.0,0.0,100,1,0.0,0.0,100
What is the hottest temperature record for Fresno?,115 °F,,1,0.0,0.0,163,1,0.0,0.0,163,1,0.0,0.0,163,1,0.0,0.0,163
How many counties initially made up the definition of southern California?,seven,,1,1.0,1.0,37,1,1.0,1.0,37,1,1.0,1.0,37,1,1.0,1.0,37
Which tribes did Genghis Khan unite?,Mongol and Turkic tribes,,1,0.4210526315789474,0.0,150,1,0.4210526315789474,0.0,150,1,0.4210526315789474,0.0,150,1,0.4210526315789474,0.0,150
What is a twin prime?,pairs of primes with difference 2,,1,0.2222222222222222,0.0,132,1,0.2222222222222222,0.0,132,1,0.2222222222222222,0.0,132,1,0.2222222222222222,0.0,132
What percentage of electricity was made by steam turbine in the 1990s?,90,,1,0.0,0.0,146,1,0.0,0.0,146,1,0.0,0.0,146,1,0.0,0.0,146
Who lead the school back to leading research institution in 2oth century?,James Bryant Conant,,1,1.0,1.0,94,1,1.0,1.0,94,1,1.0,1.0,94,1,1.0,1.0,94
What is the Victoria state bird?,helmeted honeyeater,,1,0.0,0.0,131,1,0.0,0.0,131,1,0.0,0.0,131,1,0.0,0.0,131
A small fraction of the cold water flow from Lake Constance goes to what other lake?,Lake Überlingen,,1,0.14285714285714285,0.0,139,1,0.14285714285714285,0.0,139,1,0.14285714285714285,0.0,139,1,0.14285714285714285,0.0,139
When was the great plague of London?,1665,,1,0.0625,0.0,141,1,0.0625,0.0,141,1,0.0625,0.0,141,1,0.0625,0.0,141
Colonialism often means a country doing what?,taking physical control of another,,1,0.0,0.0,231,1,0.0,0.0,231,1,0.0,0.0,231,1,0.0,0.0,231
Who was the leader of the Islamist regime in Sudan?,Hassan al-Turabi,,1,1.0,1.0,80,1,1.0,1.0,80,1,1.0,1.0,80,1,1.0,1.0,80
What region does use the term 'private schools' to refer to universities?,North America,,1,0.0,0.0,81,1,0.0,0.0,81,1,0.0,0.0,81,1,0.0,0.0,81
Where is the Rhine Bridge?,Arnhem,,1,0.0,0.0,149,1,0.0,0.0,149,1,0.0,0.0,149,1,0.0,0.0,149
Which TFEU article defines the ordinary legislative procedure that applies for majority of EU acts?,TFEU article 294,,1,0.3,0.0,274,1,0.3,0.0,274,1,0.3,0.0,274,1,0.3,0.0,274
What is the magnitude of force divided by when external force is added?,mass of the system,,1,0.0,0.0,91,1,0.0,0.0,91,1,0.0,0.0,91,1,0.0,0.0,91
What was the target percentage of households BSkyB wanted to reach?,36%,,1,0.0,0.0,87,1,0.0,0.0,87,1,0.0,0.0,87,1,0.0,0.0,87
What is the high end of the temperature range in winter?,70,,1,0.0,0.0,72,1,0.0,0.0,72,1,0.0,0.0,72,1,0.0,0.0,72
What garden was formally only for royalty?,The Saxon Garden,,1,1.0,1.0,283,1,1.0,1.0,283,1,1.0,1.0,283,1,1.0,1.0,283
What amount of the worlds carbon is stored in the Amazon forest?,10% of the carbon stores,,1,0.6666666666666666,0.0,84,1,0.6666666666666666,0.0,84,1,0.6666666666666666,0.0,84,1,0.6666666666666666,0.0,84
Who challenged the plague theory first?,British bacteriologist J. F. D. Shrewsbury,,0,0.0,0.0,102,0,0.14925373134328357,0.0,102,0,0.0,0.0,102,0,0.14925373134328357,0.0,102
What entity owns V/Line?,Victorian Government,,1,0.0,0.0,84,1,0.0,0.0,84,1,0.0,0.0,84,1,0.0,0.0,84
Where do ctenophora live?,marine waters,,1,0.0,0.0,161,1,0.0,0.0,161,1,0.0,0.0,161,1,0.0,0.0,161
Which central European country had a Calvinist ruler?,Prussia,,1,0.0,0.0,108,1,0.0,0.0,108,1,0.0,0.0,108,1,0.0,0.0,108
How much more land does the school own in Allston than Cambridge?,approximately fifty percent,,1,0.375,0.0,136,1,0.375,0.0,136,1,0.375,0.0,136,1,0.375,0.0,136
What was Tymnet,"an international data communications network headquartered in San Jose, CA",,1,0.0,0.0,137,1,0.0,0.0,137,1,0.0,0.0,137,1,0.0,0.0,137
"What alumni wrote ""The Closing of the American Mind""?",Allan Bloom,,1,0.5,0.0,89,1,0.5,0.0,89,1,0.5,0.0,89,1,0.5,0.0,89
What advancements besides military technology did Europe achieve?,communication,,1,0.14285714285714288,0.0,84,1,0.14285714285714288,0.0,84,1,0.14285714285714288,0.0,84,1,0.14285714285714288,0.0,84
How are ergänzungsschulen funded?,tuition,,1,0.0,0.0,73,1,0.0,0.0,73,1,0.0,0.0,73,1,0.0,0.0,73
To what pathogen that causes gas gangrene is oxygen poisonous?,anaerobic bacteria,,1,0.1904761904761905,0.0,119,1,0.1904761904761905,0.0,119,1,0.1904761904761905,0.0,119,1,0.1904761904761905,0.0,119
What South African law recognized two types of schools?,South African Schools Act,,1,0.6666666666666666,0.0,72,1,0.6666666666666666,0.0,72,1,0.6666666666666666,0.0,72,1,0.6666666666666666,0.0,72
The presence of who is highly likely even in small projects?,the mortgage banker,,1,0.14285714285714288,0.0,134,1,0.14285714285714288,0.0,134,1,0.14285714285714288,0.0,134,1,0.14285714285714288,0.0,134
How many square kilometers of rainforest is covered in the basin?,"5,500,000 square kilometres (2,100,000 sq mi) are covered by the rainforest.",,1,0.6451612903225806,0.0,156,1,0.6451612903225806,0.0,156,1,0.6451612903225806,0.0,156,1,0.6451612903225806,0.0,156
What suffered considerably for Warsaw when it had an Eastern Bloc economy?,infrastructure,,1,0.0,0.0,93,1,0.0,0.0,93,1,0.0,0.0,93,1,0.0,0.0,93
What was the very first television station to broadcast in Fresno?,KMJ-TV,,1,0.0,0.0,95,1,0.0,0.0,95,1,0.0,0.0,95,1,0.0,0.0,95
What law connects relative velocities with inertia?,Newton's First,,1,0.18181818181818182,0.0,188,1,0.18181818181818182,0.0,188,1,0.18181818181818182,0.0,188,1,0.18181818181818182,0.0,188
How did Celeron handle business on trip?,"British merchants or fur-traders, Céloron informed them of the French claims on the territory and told them to leave.",,1,0.1111111111111111,0.0,116,1,0.1111111111111111,0.0,116,1,0.1111111111111111,0.0,116,1,0.0,0.0,116
What was the capital of the Ottoman empire?,Istanbul,,1,0.0,0.0,112,1,0.0,0.0,112,1,0.0,0.0,112,1,0.0,0.0,112
What city in Victoria is called the sporting capital of Australia?,Melbourne,,1,0.0,0.0,152,1,0.0,0.0,152,1,0.0,0.0,152,1,0.0,0.0,152
What did Maududi believe Muslim society could not be Islamic in the absence of?,Sharia,,1,0.1,0.0,83,1,0.1,0.0,83,1,0.1,0.0,83,1,0.1,0.0,83
What grew on a global scale as a result of imperialism?,the world's economy,,1,0.0,0.0,128,1,0.0,0.0,128,1,0.0,0.0,128,1,0.0,0.0,128
Why did OPEC raise the price of oil to $5.11?,In response to American aid to Israel,,1,0.4827586206896552,0.0,159,1,0.4827586206896552,0.0,159,1,0.4827586206896552,0.0,159,1,0.4827586206896552,0.0,159
"If q=9 and a=1,2,4,5,7, or 8, how many primes would be in a progression?",infinitely many prime numbers,,1,0.11111111111111112,0.0,127,1,0.11111111111111112,0.0,127,1,0.11111111111111112,0.0,127,1,0.11111111111111112,0.0,127
What does the bathocyroe and ocyropsis do to escape danger?,by clapping their lobes,,1,0.2666666666666667,0.0,160,1,0.2666666666666667,0.0,160,1,0.2666666666666667,0.0,160,1,0.2666666666666667,0.0,160
What does  oxygen therapy promote the body to take up?,gaseous oxygen.,,1,0.5,0.0,90,1,0.5,0.0,90,1,0.5,0.0,90,1,0.5,0.0,90
Where did Korea border Kublai's territory?,northeast,,1,0.0,0.0,120,1,0.0,0.0,120,1,0.0,0.0,120,1,0.0,0.0,120
Along what geographic feature are nine residential houses located?,Charles River,,1,0.0,0.0,162,1,0.0,0.0,162,1,0.0,0.0,162,1,0.0,0.0,162
Packet Switching contrast with what other principal ,circuit switching,,1,0.0,0.0,80,1,0.0,0.0,80,1,0.0,0.0,80,1,0.0,0.0,80
What did France offer that was rare by imperial standards?,assimilation,,1,0.0,0.0,98,1,0.0,0.0,98,1,0.0,0.0,98,1,0.0,0.0,98
How many men did Duquesne send to relieve  Saint-Pierre ?,"Contrecœur led 500 men south from Fort Venango on April 5, 1754",,1,0.5714285714285715,0.0,94,1,0.5714285714285715,0.0,94,1,0.5714285714285715,0.0,94,1,0.5714285714285715,0.0,94
Which of the tributaries in Germany contributes most? ,Moselle,,1,0.0,0.0,108,1,0.0,0.0,108,1,0.0,0.0,108,1,0.0,0.0,108
Which book discussed the theory about low populations in the Amazon rainforest?,Amazonia: Man and Culture in a Counterfeit Paradise,,1,0.0,0.0,147,1,0.0,0.0,147,1,0.0,0.0,147,1,0.0,0.0,147
Who was given land by British goovernment for development of Ohio Country?,Ohio Company of Virginia,,1,0.32,0.0,159,1,0.32,0.0,159,1,0.32,0.0,159,1,0.32,0.0,159
What symbol was employed until early in the 20th century?,The show globe,,1,0.0,0.0,124,1,0.0,0.0,124,1,0.0,0.0,124,1,0.0,0.0,124
What is the other NHL team aside from the Anaheim Ducks to reside in Southern California?,Los Angeles Kings,,1,0.0,0.0,46,1,0.0,0.0,46,1,0.0,0.0,46,1,0.0,0.0,46
"The Peruvian Amazon indigienous people are one group struggling in the Amazon, what is another group?",Urarina,,1,0.0,0.0,73,1,0.0,0.0,73,1,0.0,0.0,73,1,0.0,0.0,73
"Though unkown, what are the most commonly ascribed attributes of L in relation to P",strictly contained in P or equal to P,,1,0.0,0.0,54,1,0.0,0.0,54,1,0.0,0.0,54,1,0.0,0.0,54
What do clinical pharmacists often participate in?,patient care rounds drug product selection,,1,0.0,0.0,78,1,0.0,0.0,78,1,0.0,0.0,78,1,0.0,0.0,78
How many Americans are richer than more than half of all citizens?,400,,1,0.11764705882352941,0.0,87,1,0.11764705882352941,0.0,87,1,0.11764705882352941,0.0,87,1,0.11764705882352941,0.0,87
What is another name for the Yosemite Freeway?,State Route 41,,1,0.0,0.0,85,1,0.0,0.0,85,1,0.0,0.0,85,1,0.0,0.0,85
What do some encrypted broadcasts require to view?,monthly subscription,,1,0.0,0.0,126,1,0.0,0.0,126,1,0.0,0.0,126,1,0.0,0.0,126
Which nation contains the majority of the amazon forest?,Brazil,,1,0.0,0.0,156,1,0.0,0.0,156,1,0.0,0.0,156,1,0.0,0.0,156
What period did plates reverse directions to compress the Tethys floor?,Jurassic Period,,1,0.09756097560975609,0.0,160,1,0.09756097560975609,0.0,160,1,0.09756097560975609,0.0,160,1,0.09756097560975609,0.0,160
How many times less is the strenght of the weak field compared to the strong?,1013,,1,0.10526315789473684,0.0,114,1,0.10526315789473684,0.0,114,1,0.10526315789473684,0.0,114,1,0.10526315789473684,0.0,114
In what form are most hospital medications?,"unit-dose, or a single dose of medicine",,1,0.0,0.0,140,1,0.0,0.0,140,1,0.0,0.0,140,1,0.0,0.0,140
Beginning how many years ago did the amazon rainforest extend 45 degrees south?,66–34 Mya,,1,0.0,0.0,108,1,0.0,0.0,108,1,0.0,0.0,108,1,0.0,0.0,108
What were the structures built by the Soviets typical of?,an Eastern Bloc city,,1,0.0,0.0,105,1,0.0,0.0,105,1,0.0,0.0,105,1,0.0,0.0,105
"As a person gets older, what does the skin produce less of?",vitamin D,,1,0.15384615384615385,0.0,104,1,0.15384615384615385,0.0,104,1,0.15384615384615385,0.0,104,1,0.15384615384615385,0.0,104
Who was Jacksonville's mayor at the time of the consolidation?,Hans Tanzler,,1,1.0,1.0,136,1,1.0,1.0,136,1,1.0,1.0,136,1,1.0,1.0,136
When was the first Sino-Japanese War?,1894,,1,0.0,0.0,172,1,0.0,0.0,172,1,0.0,0.0,172,1,0.0,0.0,172
When did Khan establish the Great Yuan?,1271,,1,0.10526315789473684,0.0,204,1,0.10526315789473684,0.0,204,1,0.10526315789473684,0.0,204,1,0.10526315789473684,0.0,204
In what year did Priestley publish the findings of his experiments?,1775,,1,0.0,0.0,144,1,0.0,0.0,144,1,0.0,0.0,144,1,0.0,0.0,144
What is the most snow Fresno has ever had?,2.2 inches,,1,0.0,0.0,163,1,0.0,0.0,163,1,0.0,0.0,163,1,0.0,0.0,163
What do platyctenida use their pharynx for?,cling to and creep on surfaces,,1,0.0,0.0,88,1,0.0,0.0,88,1,0.0,0.0,88,1,0.0,0.0,88
What is the region called that is the largest conurbation of the Rhine?,Rhine-Ruhr,,1,0.18181818181818182,0.0,133,1,0.18181818181818182,0.0,133,1,0.18181818181818182,0.0,133,1,0.18181818181818182,0.0,133
How much larger would cicada predator populations be if cicada outbreaks occurred at 14 and 15 year intervals?,up to 2% higher,,1,0.25,0.0,166,1,0.25,0.0,166,1,0.25,0.0,166,1,0.25,0.0,166
How many total acres is Woodward Park?,300 acres,,1,0.0,0.0,297,1,0.0,0.0,297,1,0.0,0.0,297,1,0.0,0.0,297
Why is the seating of the debating chamber arranged as it is?,encourage consensus amongst elected members,,1,0.4166666666666667,0.0,177,1,0.4166666666666667,0.0,177,1,0.4166666666666667,0.0,177,1,0.4166666666666667,0.0,177
When did Galor and Zeria show new information about inequality?,1993,,1,1.0,1.0,153,1,1.0,1.0,153,1,1.0,1.0,153,1,1.0,1.0,153
What type of ballot is used to elect the Presiding Officer and deputies of the Parliament?,secret,,1,0.0909090909090909,0.0,153,1,0.0909090909090909,0.0,153,1,0.0909090909090909,0.0,153,1,0.0909090909090909,0.0,153
What Jacksonville community is known for having heavy ties to the Navy?,Filipino,,1,0.13333333333333333,0.0,84,1,0.13333333333333333,0.0,84,1,0.13333333333333333,0.0,84,1,0.13333333333333333,0.0,84
What is another term for university-preparatory schools?,prep schools,,1,0.5,0.0,127,1,0.5,0.0,127,1,0.5,0.0,127,1,0.5,0.0,127
How many inhabitants did Betty Meggers believe could occupy each square kilometre of the Amazon?,0.2,,1,1.0,1.0,147,1,1.0,1.0,147,1,1.0,1.0,147,1,1.0,1.0,147
Where does heat rejection occur in the Rankine cycle?,in the condenser,,1,0.0,0.0,155,1,0.0,0.0,155,1,0.0,0.0,155,1,0.0,0.0,155
What are the skin cells that can be transformed into tumors known as?,melanocytes,,1,0.0,0.0,144,1,0.0,0.0,144,1,0.0,0.0,144,1,0.0,0.0,144
Dendritic cells present antigens to what cells of the adaptive nervous system?,T cells,,1,0.125,0.0,90,1,0.125,0.0,90,1,0.125,0.0,90,1,0.125,0.0,90
When did France and the Dutch fight in the 17th century?,1672,,1,1.0,1.0,85,1,1.0,1.0,85,1,1.0,1.0,85,1,1.0,1.0,85
How much was the 1994 earthquake estimated to have cost?,$20 billion,,1,0.5,0.0,75,1,0.5,0.0,75,1,0.5,0.0,75,1,0.5,0.0,75
How were Huguenot settlers assimilated into North American society at large?,married outside their immediate French communities,,1,0.0,0.0,97,1,0.0,0.0,97,1,0.0,0.0,97,1,0.0,0.0,97
How much oxygen is found is a liter of fresh water under normal conditions?,6.04 milliliters,,1,0.0,0.0,120,1,0.0,0.0,120,1,0.0,0.0,120,1,0.0,0.0,120
"Who suggested that imperialism was the ""highest"" form of capitalism?",Lenin,,1,0.07692307692307693,0.0,286,1,0.07692307692307693,0.0,286,1,0.07692307692307693,0.0,286,1,0.07692307692307693,0.0,286
What produces the high levels of oxygen on Earth?,oxygen cycle,,1,0.2666666666666667,0.0,94,1,0.2666666666666667,0.0,94,1,0.2666666666666667,0.0,94,1,0.2666666666666667,0.0,94
What is the confusion of the French and Indian war?,"Indians fought on both sides of the conflict, and that this was part of the Seven Years' War",,1,0.1111111111111111,0.0,140,1,0.1111111111111111,0.0,140,1,0.1111111111111111,0.0,140,1,0.1111111111111111,0.0,140
Policies which reduce the inequality associated effects of unemployment support what type of growth?,economic,,1,0.11764705882352941,0.0,102,1,0.11764705882352941,0.0,102,1,0.11764705882352941,0.0,102,1,0.11764705882352941,0.0,102
"What month, every four years, are the ordinary general elections held on?",May,,1,0.0,0.0,181,1,0.0,0.0,181,1,0.0,0.0,181,1,0.0,0.0,181
When are the new Sky Q products going to be available?,2016,,1,0.10526315789473684,0.0,137,1,0.10526315789473684,0.0,137,1,0.10526315789473684,0.0,137,1,0.10526315789473684,0.0,137
Starting in what year has Harvard topped the Academic Rankings of World Universities?,2003,,1,0.0,0.0,182,1,0.0,0.0,182,1,0.0,0.0,182,1,0.0,0.0,182
When was the divestment from South Africa movement? ,late 1980s,,1,1.0,1.0,84,1,1.0,1.0,84,1,1.0,1.0,84,1,1.0,1.0,84
Who is eligible to toss their name in the hat to be First Minister?,Any member,,1,0.0,0.0,189,1,0.0,0.0,189,1,0.0,0.0,189,1,0.0,0.0,189
What was the civil war against Ragibagh also called?,the War of the Two Capitals,,1,0.3333333333333333,0.0,202,1,0.3333333333333333,0.0,202,1,0.3333333333333333,0.0,202,1,0.3333333333333333,0.0,202
Who demonstrated how to create a perfect number from a Mersenne prime?,Euclid,,1,0.16666666666666669,0.0,116,1,0.16666666666666669,0.0,116,1,0.16666666666666669,0.0,116,1,0.16666666666666669,0.0,116
"Which genus is considered the ""aunt"" of ctenophores?",Stromatoveris,,1,0.0,0.0,83,1,0.0,0.0,83,1,0.0,0.0,83,1,0.0,0.0,83
The Rhine gets how much water from the Aare?,"1,000 m3/s (35,000 cu ft/s),",,1,0.0,0.0,120,1,0.0,0.0,120,1,0.0,0.0,120,1,0.0,0.0,120
Who patronized the monks in Italy? ,Robert Guiscard,,1,0.13793103448275862,0.0,52,1,0.13793103448275862,0.0,52,1,0.13793103448275862,0.0,52,1,0.13793103448275862,0.0,52
What was the significance of British win?,confirming Britain's position as the dominant colonial power in eastern North America,,1,0.0,0.0,94,1,0.0,0.0,94,1,0.0,0.0,94,1,0.0,0.0,94
Where does centripetal force go?,toward the center of the curving path,,1,0.0,0.0,151,1,0.0,0.0,151,1,0.0,0.0,151,1,0.0,0.0,151
What types of pumps are typically used in industrial boilers?,multi-stage centrifugal,,1,0.25,0.0,81,1,0.25,0.0,81,1,0.25,0.0,81,1,0.25,0.0,81
What was the ratio of British settler to French?,20 to 1,,1,0.0,0.0,114,1,0.0,0.0,114,1,0.0,0.0,114,1,0.0,0.0,114
When was it discovered that prime numbers could applied to the creation of public key cryptography algorithms?,the 1970s,,1,0.07142857142857142,0.0,114,1,0.07142857142857142,0.0,114,1,0.07142857142857142,0.0,114,1,0.07142857142857142,0.0,114
What was the population density in 2000?,"4,097.9 people per square mile",,1,0.0,0.0,95,1,0.0,0.0,95,1,0.0,0.0,95,1,0.0,0.0,95
By when did most of France's Colonies gain independence?,1960,,1,0.1111111111111111,0.0,114,1,0.1111111111111111,0.0,114,1,0.1111111111111111,0.0,114,1,0.1111111111111111,0.0,114
What was Joseph Haas arrested for?,"sending an email to the Lebanon, New Hampshire city councilors",,1,0.0,0.0,93,1,0.0,0.0,93,1,0.0,0.0,93,1,0.0,0.0,93
Which areas of Northern Europe practiced those religions?,Germany and Scandinavia,,1,0.0,0.0,162,1,0.0,0.0,162,1,0.0,0.0,162,1,0.0,0.0,162
How many times did plague occur in Venice?,22 times between 1361 and 1528,,1,0.7499999999999999,0.0,166,1,0.7499999999999999,0.0,166,1,0.7499999999999999,0.0,166,1,0.7499999999999999,0.0,166
